,fight_id,round,FT_blue,SUL_blue,SGBL_blue,SSHL_blue,SGHL_blue,SML_blue,TDA_blue,SMA_blue,SGA_blue,SGBA_blue,SSBL_blue,SSBA_blue,SSHA_blue,ST_blue,GRC_blue,KDL_blue,KOL_blue,SSA_blue,TDL_blue,RVL_blue,SGHA_blue,FT_red,SUL_red,SGBL_red,SSHL_red,SGHL_red,SML_red,TDA_red,SMA_red,SGA_red,SGBA_red,SSBL_red,SSBA_red,SSHA_red,ST_red,GRC_red,KDL_red,KOL_red,SSA_red,TDL_red,RVL_red,SGHA_red,blue,red
0,7504,1,0,0,0,14,0,0,0,0,0,0,4,12,51,299,0,0,0,75,0,0,0,0,0,0,13,0,0,0,0,0,0,9,13,45,299,0,0,0,73,0,0,0,2254,1657
1,7504,2,4,0,0,32,0,0,0,0,0,0,6,13,81,221,4,0,0,96,0,0,0,4,0,0,41,0,0,1,0,0,0,17,19,81,221,71,0,0,106,0,0,0,2254,1657
2,7504,3,1,0,0,13,0,0,1,0,0,0,2,4,29,108,1,0,0,33,0,0,0,1,0,0,17,0,0,0,0,0,0,10,11,34,108,0,1,1,47,0,0,0,2254,1657
0,7932,1,3,0,0,10,3,0,0,0,3,0,0,3,21,149,3,1,1,38,0,0,3,3,0,0,2,0,0,0,0,0,0,0,1,16,149,0,0,0,23,0,0,0,2254,1984
0,11398,1,0,1,0,2,0,1,0,2,0,0,0,0,4,168,0,0,0,13,0,0,0,0,0,0,2,0,0,1,0,0,0,3,5,6,168,34,0,0,21,1,0,0,3644,1683
0,10212,1,28,0,0,15,1,0,1,0,1,0,2,4,54,272,0,0,0,69,0,0,1,28,0,0,15,2,0,1,0,3,0,7,17,25,272,28,0,0,50,0,0,3,3644,2890
1,10212,2,22,1,0,13,0,0,0,0,0,0,11,12,54,278,0,0,0,70,0,0,0,22,0,0,13,0,0,2,0,0,0,5,8,32,278,22,0,0,46,1,0,0,3644,2890
2,10212,3,52,2,0,4,0,0,2,0,0,0,0,0,13,213,1,0,0,15,0,0,0,52,0,0,2,0,0,3,0,0,0,2,2,2,213,51,0,0,4,2,0,0,3644,2890
0,9335,1,26,1,0,29,0,0,2,0,0,0,7,8,62,230,0,1,1,81,0,0,0,26,0,0,13,1,0,1,0,1,0,4,4,39,230,26,0,0,50,1,0,1,3644,3196
0,9670,1,99,0,0,0,1,1,2,1,1,0,0,0,3,77,53,0,0,5,1,0,1,99,0,0,2,3,0,0,0,3,0,2,2,4,77,99,0,0,6,0,0,3,3644,3395
0,9911,1,57,3,0,5,4,0,1,2,7,0,1,2,12,182,61,0,0,14,1,0,7,57,1,0,3,0,0,8,0,0,0,4,4,4,182,56,0,0,8,3,0,0,3644,3528
1,9911,2,0,0,0,4,1,1,0,2,1,0,1,2,14,123,43,0,0,17,0,0,1,0,0,0,2,0,0,1,0,0,0,5,8,4,123,0,0,0,14,0,0,0,3644,3528
0,8502,1,14,0,0,3,0,0,3,0,0,0,0,1,17,155,68,0,0,23,2,0,0,14,2,0,8,4,0,0,0,4,0,10,10,20,155,14,0,0,33,0,0,4,459,1683
1,8502,2,8,1,0,3,0,0,5,0,0,0,0,3,16,272,2,0,0,23,0,0,0,8,0,0,12,0,0,2,0,0,0,14,21,40,272,8,0,0,66,1,0,0,459,1683
2,8502,3,58,1,0,4,0,0,4,0,0,0,1,1,13,121,58,0,0,19,1,0,0,58,1,9,13,1,0,1,2,10,9,3,4,30,121,40,0,0,37,1,0,1,459,1683
0,8960,1,48,0,0,21,0,0,2,0,0,0,5,5,36,219,48,0,0,44,1,0,0,48,1,0,26,0,0,0,0,0,0,4,10,55,219,0,0,0,66,0,0,0,459,1711
1,8960,2,45,0,0,4,0,0,4,0,1,0,6,6,15,191,45,0,0,23,1,0,0,45,1,0,11,2,0,0,0,2,0,1,1,24,191,31,0,0,25,0,0,2,459,1711
2,8960,3,141,0,0,4,2,0,1,1,2,0,1,1,18,73,141,0,0,19,1,0,2,141,1,0,10,3,0,0,0,3,0,0,1,29,73,86,0,0,30,0,0,3,459,1711
0,7164,1,257,0,0,3,37,0,1,0,49,0,0,0,15,46,257,0,0,15,1,0,49,257,1,0,2,0,0,0,0,0,0,0,1,9,46,0,0,0,12,0,0,0,2157,1657
1,7164,2,233,0,1,6,26,0,2,0,31,1,1,1,14,68,233,0,0,15,1,0,30,233,1,0,3,2,0,1,0,2,0,2,3,10,68,0,0,0,13,0,0,2,2157,1657
2,7164,3,57,0,0,14,0,0,3,0,0,0,1,2,45,234,57,0,0,48,1,0,0,57,1,0,8,0,0,0,0,0,0,9,11,20,234,10,0,0,34,0,0,0,2157,1657
3,7164,4,268,0,0,6,32,0,1,0,39,0,0,0,17,32,268,0,0,17,1,0,39,268,1,0,3,0,0,0,0,0,0,2,2,13,32,0,0,0,15,0,0,0,2157,1657
4,7164,5,0,0,0,14,0,0,2,0,0,0,0,0,27,136,0,0,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,7,9,19,136,0,0,0,30,0,0,0,2157,1657
0,6474,1,0,0,0,14,0,0,1,0,0,0,6,10,49,299,0,0,0,67,0,0,0,0,0,0,7,0,0,0,0,0,0,8,11,33,299,0,0,0,45,0,0,0,2168,1657
1,6474,2,0,0,0,17,0,0,1,0,0,0,4,5,45,212,0,0,0,54,0,0,0,0,0,0,5,1,0,0,0,1,0,5,6,27,212,1,1,1,36,0,0,1,2168,1657
0,5548,1,0,0,0,11,0,0,2,0,0,0,1,3,46,301,0,0,0,57,0,0,0,0,0,0,10,0,0,0,0,0,0,13,21,51,301,0,0,0,73,0,0,0,2168,1711
1,5548,2,0,0,0,17,0,0,4,0,0,0,5,10,52,302,0,0,0,62,0,0,0,0,0,0,15,0,0,0,0,0,0,18,27,50,302,0,0,0,80,0,0,0,2168,1711
2,5548,3,0,0,0,24,0,0,1,0,0,0,6,8,71,299,0,0,0,82,0,0,0,0,0,0,7,0,0,0,0,0,0,18,37,32,299,0,0,0,69,0,0,0,2168,1711
0,6050,1,0,0,0,14,19,0,2,0,27,0,9,10,29,173,25,2,1,43,0,0,27,0,1,0,5,0,0,0,0,0,0,4,12,17,173,0,0,0,30,0,0,0,2168,1984
0,9614,1,0,0,0,1,9,0,2,0,20,0,2,2,7,86,93,0,1,12,1,0,20,0,0,0,0,2,0,0,0,2,0,6,6,3,86,0,0,0,11,0,0,2,2466,1683
0,10471,1,0,0,0,9,0,0,1,0,0,0,5,11,34,274,0,0,0,53,0,0,0,0,0,0,9,6,0,1,0,6,0,6,9,50,274,1,0,0,63,0,0,6,2890,1683
0,7094,1,18,0,0,8,0,0,1,0,0,0,0,0,17,96,0,0,0,17,0,0,0,18,0,0,8,16,0,0,0,16,0,3,4,38,96,18,1,1,44,0,0,16,2890,2208
0,12093,1,0,0,0,3,2,0,1,0,2,0,0,0,8,61,141,1,1,11,1,0,2,0,1,0,3,0,0,0,0,0,0,0,1,6,61,0,0,0,9,0,0,0,2890,3188
0,8142,1,194,1,2,0,3,0,0,0,6,2,2,3,6,86,194,0,0,12,0,0,4,194,0,0,4,0,0,2,1,0,0,0,1,12,86,11,0,0,13,1,0,0,1683,1997
1,8142,2,0,0,0,14,0,0,0,0,0,0,5,12,32,300,0,0,0,50,0,0,0,0,0,0,4,0,0,0,0,0,0,5,10,41,300,0,0,0,58,0,0,0,1683,1997
2,8142,3,24,0,0,9,1,0,2,0,1,0,4,7,34,229,24,0,0,46,2,0,1,24,2,0,12,0,0,0,0,0,0,0,3,47,229,0,0,0,51,0,0,0,1683,1997
0,8705,1,0,0,0,2,4,0,3,0,8,0,10,10,2,68,219,0,0,12,2,0,8,0,2,0,0,1,0,3,0,1,0,1,1,2,68,0,0,0,3,0,0,1,1683,2101
1,8705,2,0,0,0,9,4,0,1,0,5,0,2,3,20,177,105,0,0,23,1,0,5,0,1,0,2,0,0,2,0,0,0,2,6,20,177,0,0,0,30,0,0,0,1683,2101
2,8705,3,14,1,0,21,1,0,2,0,1,0,6,6,38,190,61,0,0,46,1,0,1,14,1,0,5,0,0,1,0,0,0,4,8,27,190,14,0,0,35,1,0,0,1683,2101
0,6855,1,3,2,0,10,0,0,2,0,0,0,7,9,31,252,3,0,0,48,1,0,0,3,1,0,13,9,0,1,1,17,0,4,6,30,252,31,1,0,41,1,0,17,1683,2784
1,6855,2,0,2,0,24,0,0,1,0,0,0,4,7,66,284,0,0,0,77,0,0,0,0,0,0,16,0,0,2,0,0,0,7,10,47,284,13,0,0,65,2,0,0,1683,2784
2,6855,3,0,1,0,32,0,0,0,0,0,0,4,6,98,289,0,0,0,107,0,0,0,0,0,0,29,0,0,2,0,0,0,8,16,86,289,6,0,0,109,1,0,0,1683,2784
3,8583,1,16,0,0,19,1,0,1,0,3,0,5,7,50,272,16,0,0,68,1,0,3,16,1,0,19,0,0,1,0,0,0,9,10,48,272,0,0,0,59,0,0,0,1683,2784
4,8583,2,39,1,0,16,0,0,1,0,0,0,6,13,36,246,39,0,0,61,1,0,0,39,1,0,5,0,0,1,0,0,0,3,5,28,246,8,0,0,37,1,0,0,1683,2784
5,8583,3,116,0,1,18,13,0,1,0,20,1,8,9,27,184,116,1,0,43,1,0,19,116,2,0,7,0,0,0,0,0,0,4,6,23,184,0,0,0,31,0,0,0,1683,2784
0,7502,1,0,0,0,4,0,0,1,1,0,0,12,13,17,291,0,0,0,47,0,0,0,0,0,0,2,0,0,3,0,0,0,5,7,19,291,0,0,0,40,0,0,0,1683,2854
1,7502,2,0,0,1,4,9,0,1,0,13,1,5,5,10,124,177,0,0,19,1,0,12,0,1,0,4,0,0,3,0,0,0,2,3,12,124,0,0,0,17,0,0,0,1683,2854
2,7502,3,2,0,0,22,0,0,2,0,0,0,9,12,52,262,0,0,0,75,0,0,0,2,0,0,16,4,0,0,0,6,0,5,6,52,262,2,0,0,68,0,0,6,1683,2854
0,11048,1,0,0,0,5,0,0,0,0,0,0,3,4,14,157,0,0,0,26,0,0,0,0,0,1,12,14,0,0,0,19,1,1,3,30,157,12,1,1,41,0,0,18,1683,3072
0,9275,1,0,0,0,15,0,0,0,0,0,0,9,10,28,300,0,0,0,48,0,0,0,0,0,0,9,0,0,0,0,0,0,10,17,30,300,0,0,0,62,0,0,0,1683,3078
1,9275,2,0,0,0,30,0,0,1,0,0,0,10,17,71,300,0,0,0,94,0,0,0,0,0,0,20,0,0,0,0,0,0,6,12,57,300,0,0,0,82,0,0,0,1683,3078
2,9275,3,0,0,0,48,0,0,1,0,0,0,15,18,98,300,0,0,0,121,0,0,0,0,0,0,18,0,0,0,0,0,0,10,15,45,300,0,0,0,79,0,0,0,1683,3078
0,8785,1,7,0,0,10,0,0,0,0,0,0,9,10,36,270,23,0,0,56,0,1,0,7,1,0,8,0,0,2,0,0,0,2,2,29,270,7,0,0,36,1,0,0,1683,3188
1,8785,2,35,0,0,6,0,0,2,0,1,0,14,19,28,233,8,0,0,58,1,0,1,35,1,0,10,0,0,0,1,0,0,2,2,29,233,0,0,0,33,0,0,0,1683,3188
2,8785,3,65,1,0,13,0,0,1,0,2,0,8,11,37,219,2,0,0,60,1,0,2,65,1,0,11,0,0,1,0,0,0,1,3,44,219,65,0,0,50,1,0,0,1683,3188
0,5187,1,0,0,0,10,0,0,0,0,0,0,1,7,61,300,0,0,0,73,0,0,0,0,0,0,5,0,0,1,0,0,0,8,12,18,300,0,0,0,33,0,0,0,1711,1657
1,5187,2,35,0,0,11,0,0,0,0,1,0,1,5,52,265,35,0,0,59,0,0,1,35,0,0,4,0,0,1,0,0,0,3,7,26,265,0,0,0,33,0,0,0,1711,1657
2,5187,3,21,0,0,4,2,0,1,0,3,0,2,7,40,279,21,0,0,51,1,0,3,21,1,0,6,0,0,0,0,0,0,5,6,26,279,0,0,0,32,0,0,0,1711,1657
0,5712,1,0,0,0,5,0,0,0,0,0,0,10,28,45,300,0,0,0,94,0,0,0,0,0,0,17,0,0,0,0,0,0,1,3,58,300,0,0,0,66,0,0,0,1711,538
1,5712,2,0,0,0,18,0,0,0,0,0,0,10,23,61,296,0,0,0,99,0,0,0,0,0,0,64,0,0,0,0,0,0,1,2,118,296,0,0,0,124,0,0,0,1711,538
2,5712,3,0,0,0,21,0,0,1,0,0,0,8,18,79,282,7,0,0,108,1,0,0,0,1,0,54,0,0,0,0,0,0,5,8,97,282,0,0,0,110,0,0,0,1711,538
0,6339,1,0,1,0,7,0,0,0,0,0,0,6,16,32,115,0,0,0,52,0,0,0,0,0,1,1,31,0,2,0,52,1,0,0,6,115,176,0,0,6,1,0,51,1711,1919
1,6339,2,0,0,0,1,0,0,0,1,0,0,0,4,15,84,0,0,0,20,0,0,0,0,0,0,4,45,0,3,0,57,0,0,0,12,84,210,0,0,12,0,0,57,1711,1919
2,6339,3,0,0,0,1,0,0,0,0,0,0,1,1,4,26,0,0,0,5,0,0,0,0,0,0,1,11,1,1,1,11,0,0,0,4,26,126,0,0,4,1,0,11,1711,1919
0,9808,1,0,0,0,4,1,0,1,0,1,0,4,4,14,207,93,0,0,21,1,0,1,0,1,0,4,0,0,3,0,0,0,6,8,10,207,0,0,0,21,0,0,0,1711,2101
1,9808,2,0,0,0,11,2,0,0,0,2,0,5,5,18,174,16,1,1,24,0,0,2,0,0,0,3,0,0,2,0,0,0,3,3,20,174,0,0,0,26,0,0,0,1711,2101
0,10516,1,0,0,0,12,0,0,0,0,0,0,13,14,29,300,0,0,0,46,0,0,0,0,0,0,13,0,0,1,0,0,0,8,14,37,300,0,0,0,55,0,0,0,1711,2208
1,10516,2,0,0,0,1,0,0,0,0,0,0,4,6,5,109,0,0,0,12,0,0,0,0,0,0,3,1,0,1,0,1,0,2,7,8,109,1,1,1,15,0,0,1,1711,2208
0,8435,1,0,0,0,7,0,0,0,0,0,0,13,29,23,297,0,0,0,59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13,297,0,0,0,16,0,0,0,1711,3188
1,8435,2,0,0,0,0,1,0,0,0,1,0,0,0,0,6,18,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1711,3188
0,6973,1,0,0,5,5,26,0,3,0,46,5,0,0,22,78,198,0,0,22,1,0,41,0,1,0,0,0,0,0,0,0,0,4,6,6,78,0,0,0,19,0,0,0,1919,1657
1,6973,2,0,0,1,13,13,0,4,0,17,1,2,4,37,93,142,0,0,43,1,0,16,0,1,0,4,0,0,0,0,0,0,5,9,17,93,0,0,0,26,0,0,0,1919,1657
2,6973,3,0,0,0,10,10,0,6,0,15,1,0,0,32,100,103,0,0,34,2,0,14,0,2,0,2,0,0,0,0,0,0,2,4,24,100,0,0,0,31,0,0,0,1919,1657
0,12186,1,0,0,0,4,0,0,0,0,0,0,13,17,11,214,0,0,0,36,0,0,0,0,0,0,8,0,0,1,0,0,0,1,3,18,214,0,0,0,29,0,0,0,1657,2854
1,12186,2,0,0,0,7,0,0,0,0,0,0,10,12,22,238,0,0,0,38,0,0,0,0,0,0,19,0,0,0,0,0,0,3,3,37,238,0,0,0,44,0,0,0,1657,2854
2,12186,3,0,0,0,15,0,0,0,0,0,0,9,9,31,218,0,0,0,46,0,0,0,0,0,0,8,0,0,1,0,0,0,2,3,23,218,0,0,0,29,0,0,0,1657,2854
0,12496,1,34,0,0,4,0,0,0,0,0,0,4,4,14,103,4,0,0,20,0,1,0,34,1,0,28,1,0,0,0,3,0,8,9,52,103,34,2,1,63,0,0,3,1657,3072
0,7093,1,51,1,0,3,0,0,2,1,0,0,4,5,22,238,51,0,0,27,2,0,0,51,2,1,9,0,0,0,0,1,1,11,17,41,238,11,1,0,60,0,0,0,1997,1984
1,7093,2,7,1,0,3,0,0,1,0,0,0,6,8,20,279,7,0,0,30,1,0,0,7,1,0,8,3,0,2,0,4,0,12,14,29,279,8,0,0,46,1,0,4,1997,1984
2,7093,3,0,0,0,4,0,0,0,0,0,0,6,7,25,299,0,0,0,33,0,0,0,0,0,0,4,0,0,0,0,0,0,14,18,26,299,0,0,0,47,0,0,0,1997,1984
