,fight_id,round,SMA_blue,SSHL_blue,RVL_blue,SGA_blue,SML_blue,GRC_blue,TDL_blue,SSA_blue,FT_blue,SGBL_blue,SUL_blue,KDL_blue,SSBL_blue,SSBA_blue,SGBA_blue,TDA_blue,SGHL_blue,SSHA_blue,KOL_blue,ST_blue,SGHA_blue,SMA_red,SSHL_red,RVL_red,SGA_red,SML_red,GRC_red,TDL_red,SSA_red,FT_red,SGBL_red,SUL_red,KDL_red,SSBL_red,SSBA_red,SGBA_red,TDA_red,SGHL_red,SSHA_red,KOL_red,ST_red,SGHA_red,blue,red
2,7642,3,0,17,0,0,0,0,0,45,0,0,0,0,3,4,0,0,0,37,0,299,0,0,27,0,0,0,0,0,82,0,0,0,0,5,7,0,0,0,69,0,299,0,1974,2119
0,7597,1,0,6,0,17,0,161,2,34,168,1,0,0,6,6,1,2,8,28,0,132,16,1,7,0,0,0,0,0,19,168,0,2,0,1,1,0,0,0,17,0,132,0,2322,1177
1,7597,2,0,2,0,16,0,231,2,15,231,0,0,0,1,2,0,2,5,12,0,70,16,0,4,0,0,0,0,0,15,231,0,2,0,0,0,0,0,0,15,0,70,0,2322,1177
2,7597,3,0,1,1,0,0,86,1,8,86,0,0,0,0,0,0,6,0,8,0,148,0,0,1,0,4,0,61,0,17,86,0,2,0,3,3,0,0,3,14,0,148,4,2322,1177
0,9397,1,0,0,0,0,0,31,0,6,31,0,0,0,1,1,0,0,0,5,0,87,0,0,3,0,21,0,11,0,10,31,0,0,1,1,1,0,1,18,8,1,87,21,2322,3269
0,7771,1,0,3,0,0,0,0,0,23,0,0,0,0,3,5,0,0,0,15,0,300,0,0,4,0,0,0,0,0,49,0,0,0,0,3,10,0,1,0,21,0,300,0,1052,2824
1,7771,2,0,9,0,0,0,0,0,33,0,0,0,0,2,5,0,1,0,27,0,285,0,0,10,0,0,0,0,0,66,0,0,0,0,8,8,0,0,0,34,0,285,0,1052,2824
2,7771,3,0,7,0,0,0,0,0,23,0,0,0,0,2,2,0,0,0,21,0,299,0,0,14,0,0,0,0,0,61,0,0,0,0,6,6,0,2,0,38,0,299,0,1052,2824
0,9704,1,0,9,0,0,0,0,0,40,0,0,1,0,2,2,0,0,0,31,0,253,0,0,25,0,0,0,9,1,54,0,0,0,0,4,5,0,2,0,40,0,253,0,1494,2824
1,9704,2,0,4,0,0,0,0,0,31,0,0,2,0,3,4,0,0,0,24,0,218,0,0,25,0,2,0,52,2,52,0,0,0,0,2,3,0,4,2,43,0,218,2,1494,2824
2,9704,3,0,16,0,0,0,0,0,50,0,0,2,0,4,5,0,0,0,44,0,257,0,0,35,0,14,0,22,1,79,0,1,0,1,2,3,1,2,9,65,0,257,13,1494,2824
3,9704,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,45,0,0,6,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,8,1,45,0,1494,2824
0,10580,1,0,0,0,1,0,0,0,8,0,0,3,0,1,1,0,0,1,3,0,98,1,0,0,0,11,0,189,3,4,0,0,0,0,0,0,0,4,9,0,0,98,11,2362,2824
1,10580,2,0,3,0,2,0,0,0,17,0,0,3,0,5,6,0,0,1,8,0,87,2,0,2,0,14,0,183,3,11,0,0,0,0,1,1,0,6,13,5,0,87,14,2362,2824
2,10580,3,0,8,0,0,0,0,0,52,0,0,0,0,5,7,0,0,0,35,0,241,0,0,9,0,21,0,14,1,36,0,0,0,0,3,4,0,2,15,18,1,241,21,2362,2824
0,6649,1,0,5,0,21,0,85,3,35,3,0,0,1,2,4,0,4,18,21,0,156,21,0,10,0,2,0,0,0,39,3,0,4,0,1,1,0,0,2,35,0,156,2,2824,1177
1,6649,2,0,13,0,5,0,35,1,40,2,0,0,0,3,4,0,2,5,25,0,198,5,0,12,0,0,0,2,0,50,2,0,1,0,1,3,0,1,0,46,0,198,0,2824,1177
2,6649,3,0,14,0,0,0,2,0,38,0,0,0,0,4,5,0,1,0,25,0,226,0,0,15,0,0,0,0,0,58,0,0,0,0,0,1,0,4,0,56,0,226,0,2824,1177
0,11049,1,0,8,0,0,0,0,0,52,0,0,0,0,7,12,0,0,0,29,0,300,0,0,4,0,0,0,0,0,38,0,0,0,0,7,8,0,0,0,25,0,300,0,2824,3605
1,11049,2,0,13,0,0,0,0,0,55,1,0,0,0,4,10,0,0,0,39,0,211,0,0,10,0,3,0,1,0,36,1,0,0,1,5,8,0,0,3,25,1,211,3,2824,3605
0,9227,1,0,1,0,24,0,80,0,8,80,0,0,0,2,2,0,0,10,6,1,207,18,0,2,0,1,0,0,0,16,80,0,0,0,4,5,0,3,0,7,0,207,0,3605,2726
0,10227,1,0,12,0,0,0,0,0,38,0,0,1,0,4,10,0,0,0,27,0,211,0,0,12,0,2,0,65,1,50,0,0,0,0,6,12,0,5,1,36,0,211,2,3605,3130
1,10227,2,1,14,0,9,1,75,0,30,75,0,0,1,1,3,0,0,8,27,0,115,9,0,9,0,0,0,0,0,30,75,0,0,0,5,10,0,4,0,19,0,115,0,3605,3130
0,9728,1,0,7,0,4,0,102,1,23,102,0,1,0,1,2,0,4,4,21,0,191,4,0,16,0,3,0,4,0,44,102,0,1,1,0,1,0,0,2,42,0,191,3,3605,3439
1,9728,2,0,6,0,0,0,3,0,14,3,0,0,1,2,2,0,0,0,12,1,64,0,0,2,0,0,0,0,0,16,3,0,0,0,1,1,0,0,0,15,0,64,0,3605,3439
0,8752,1,3,2,0,0,0,124,1,16,124,0,0,0,4,7,0,4,0,9,0,160,0,0,1,0,0,0,6,0,21,124,0,1,0,2,4,0,0,0,16,0,160,0,3605,3442
1,8752,2,1,4,0,0,0,127,1,9,127,0,1,0,2,3,0,1,0,6,0,48,0,0,3,1,0,0,1,0,10,127,0,0,0,0,1,0,2,0,8,0,48,0,3605,3442
2,8752,3,1,1,0,1,0,179,3,7,179,0,2,0,0,0,0,4,0,7,0,91,1,1,6,2,1,0,13,0,21,179,0,1,0,2,2,0,0,0,18,0,91,1,3605,3442
0,8782,1,0,2,1,1,0,10,0,8,18,0,2,0,1,1,0,0,0,7,0,42,1,0,1,0,15,0,234,3,6,18,4,1,0,3,3,4,4,6,2,0,42,11,2119,3130
1,8782,2,0,12,0,3,0,8,0,46,17,0,1,0,4,5,0,0,1,41,0,156,1,1,10,0,2,0,100,1,27,17,0,0,0,5,6,0,6,1,18,0,156,2,2119,3130
2,8782,3,0,3,1,1,0,16,0,13,16,0,2,0,0,1,0,0,1,11,0,39,1,0,5,0,10,0,240,3,9,16,1,1,0,1,1,1,3,5,7,0,39,9,2119,3130
0,9205,1,0,2,0,7,0,195,3,7,0,1,0,0,0,0,1,4,4,6,0,100,6,0,4,0,0,0,0,0,24,0,0,3,0,0,1,0,0,0,21,0,100,0,2375,3439
1,9205,2,1,0,0,27,1,246,2,0,0,0,0,0,0,0,0,3,18,0,0,19,27,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19,0,2375,3439
